area,area_code,year,obesity,employment_rate,no_adults_in_employment,white,air_emission,median_income,house_price
Barnet 039,E02000062,2011,19.89528796,60,8.5,49.3690852,115.0476351,23.645,272.5
Barnet 040,E02000063,2011,19.07514451,60.73462974,7.4,52.2737054,103.8158065,28.148,350
Barnet 041,E02000064,2011,18.03278689,58.54287556,7.3,60.8514725,106.7920487,28.377,319.5
Bexley 001,E02000065,2011,27.56756757,58.4381453,9.2,43.3081137,83.95328288,26.981,145
Bexley 002,E02000066,2011,26.52068127,55.92972182,9.2,52.9094492,87.11201234,22.542,126
Bexley 003,E02000067,2011,26.60550459,62.2856227,7.2,69.5771429,85.3220776,26.156,155
Bexley 004,E02000068,2011,29.02097902,60.75558982,9.8,65.3086086,86.38278713,26.03,155
Bexley 005,E02000069,2011,34.06593407,60.79711777,5.2,74.3622861,84.8602163,29.097,161
Bexley 006,E02000070,2011,22.31759657,64.11466527,2.7,82.3873016,87.12424942,33.41,228
Bexley 007,E02000071,2011,24.91349481,64.30594901,5.2,84.890411,84.60093526,29.748,214
Bexley 008,E02000072,2011,23.09368192,56.33749527,12.3,71.2544742,81.1761564,22.762,158
Bexley 009,E02000073,2011,23.13432836,65.3315824,2.8,83.8026856,88.44715061,38.384,242
Bexley 010,E02000074,2011,28.20512821,60.58976261,7.8,82.1423906,88.00799666,24.851,163
Bexley 011,E02000075,2011,19.04761905,65.91695502,1.9,88.4373427,85.23239961,38.685,250
Bexley 013,E02000076,2011,22.97297297,62.1704075,4.1,82.1741855,87.8874164,31.615,220
Bexley 014,E02000077,2011,21.77419355,66.72610556,2.7,82.8710213,86.95785557,36.561,203.25
Bexley 015,E02000078,2011,12.69035533,68.51558373,2.4,90.6327462,82.96100866,37.56,221.25
Bexley 016,E02000079,2011,25.65789474,67.57679181,2.5,86.5861411,90.40943346,32.793,229
Bexley 017,E02000080,2011,27.35426009,64.80152336,3.6,81.495228,90.7251625,32.046,231.995
Bexley 018,E02000081,2011,22.14285714,63.66181411,3.3,89.5514442,87.86185325,36.144,230.5
Bexley 019,E02000082,2011,18.40490798,69.12989818,1.8,87.4155025,94.78869747,29.038,175
Bexley 020,E02000083,2011,15.58935361,64.44957438,4.9,87.8825095,85.72630099,41.318,248.998
Bexley 021,E02000084,2011,19.6969697,67.49840051,2.2,87.0970773,94.44952206,33.487,210
Bexley 022,E02000085,2011,20.46511628,67.75096187,2.7,90.0164703,94.80756105,41.089,239
Bexley 023,E02000086,2011,14.34977578,68.25572801,1.9,92.5627729,85.82128682,48.169,324
Bexley 024,E02000087,2011,20.86956522,66.29401901,1.9,89.6688217,88.81283203,40.186,250
Bexley 025,E02000088,2011,18.00766284,67.0186554,1.7,91.8056094,85.7519532,42.366,273
Bexley 026,E02000089,2011,15.78947368,67.24326293,1.7,92.3936785,87.73418649,37.219,192.5
